order_id,order_datetime,customer_id,item_name,category,quantity,unit_price,total_price,payment_method,order_type
1000,2024-05-20 12:47:00,CUST0001,Naan,Bread,3,40.0,120.0,Cash,Takeaway
1001,2024-04-29 19:35:00,CUST0007,Filter Coffee,Beverages,1,60.0,60.0,UPI,Delivery
1002,2024-01-04 09:44:00,CUST0028,Dal Tadka,Main Course,1,160.0,160.0,UPI,Dine-in
1003,2024-07-02 17:51:00,CUST0004,Samosa,Starter,1,50.0,50.0,UPI,Dine-in
1004,2024-11-17 20:36:00,CUST0027,Paneer Tikka,Starter,1,180.0,180.0,Cash,Takeaway
1005,2024-02-21 20:40:00,CUST0060,Masala Dosa,Breakfast,1,120.0,120.0,Card,Takeaway
1005,2024-02-21 20:40:00,CUST0060,Gulab Jamun,Dessert,2,80.0,160.0,Card,Delivery
1006,2024-03-28 19:10:00,CUST0021,Dal Tadka,Main Course,3,160.0,480.0,Card,Delivery
1007,2024-06-15 15:14:00,CUST0022,Gulab Jamun,Dessert,1,80.0,80.0,Cash,Delivery
1007,2024-06-15 15:14:00,CUST0022,Mango Lassi,Beverages,2,90.0,180.0,UPI,Dine-in
1008,2024-11-25 20:08:00,CUST0081,Filter Coffee,Beverages,1,60.0,60.0,Card,Delivery
1009,2024-07-23 19:32:00,CUST0019,Butter Chicken,Main Course,2,280.0,560.0,Cash,Delivery
1010,2024-08-04 20:24:00,CUST0022,Samosa,Starter,1,50.0,50.0,Card,Dine-in
1010,2024-08-04 20:24:00,CUST0022,Filter Coffee,Beverages,1,60.0,60.0,Cash,Delivery
1011,2024-11-24 13:27:00,CUST0065,Butter Chicken,Main Course,3,280.0,840.0,Card,Takeaway
1012,2024-09-16 17:53:00,CUST0053,Naan,Bread,1,40.0,40.0,Cash,Delivery
1012,2024-09-16 17:53:00,CUST0053,Biryani,Main Course,3,320.0,960.0,Card,Dine-in
1013,2024-01-10 13:56:00,CUST0016,Dal Tadka,Main Course,1,160.0,160.0,Card,Dine-in
1013,2024-01-10 13:56:00,CUST0016,Biryani,Main Course,1,320.0,320.0,UPI,Dine-in
1013,2024-01-10 13:56:00,CUST0016,Butter Chicken,Main Course,3,280.0,840.0,Card,Dine-in
1014,2024-10-08 14:55:00,CUST0016,Biryani,Main Course,2,320.0,640.0,Card,Dine-in
1014,2024-10-08 14:55:00,CUST0016,Filter Coffee,Beverages,2,60.0,120.0,UPI,Delivery
1015,2024-09-21 19:14:00,CUST0087,Butter Chicken,Main Course,1,280.0,280.0,Cash,Delivery
1016,2024-12-28 19:04:00,CUST0003,Gulab Jamun,Dessert,1,80.0,80.0,UPI,Dine-in
1016,2024-12-28 19:04:00,CUST0003,Paneer Tikka,Starter,1,180.0,180.0,Card,Delivery
1016,2024-12-28 19:04:00,CUST0003,Biryani,Main Course,1,320.0,320.0,Cash,Takeaway
1017,2024-02-18 13:22:00,CUST0055,Samosa,Starter,2,50.0,100.0,Cash,Delivery
1018,2024-02-01 20:51:00,CUST0043,Biryani,Main Course,1,320.0,320.0,Cash,Takeaway
1018,2024-02-01 20:51:00,CUST0043,Naan,Bread,1,40.0,40.0,UPI,Dine-in
1018,2024-02-01 20:51:00,CUST0043,Filter Coffee,Beverages,2,60.0,120.0,Cash,Takeaway
1019,2024-01-26 08:05:00,CUST0043,Biryani,Main Course,1,320.0,320.0,Cash,Takeaway
1019,2024-01-26 08:05:00,CUST0043,Masala Dosa,Breakfast,2,120.0,240.0,Cash,Takeaway
1019,2024-01-26 08:05:00,CUST0043,Mango Lassi,Beverages,1,90.0,90.0,UPI,Takeaway
1020,2024-05-26 21:50:00,CUST0089,Samosa,Starter,1,50.0,50.0,Cash,Dine-in
1020,2024-05-26 21:50:00,CUST0089,Masala Dosa,Breakfast,1,120.0,120.0,Card,Dine-in
1021,2024-01-26 21:58:00,CUST0038,Masala Dosa,Breakfast,2,120.0,240.0,Cash,Delivery
1021,2024-01-26 21:58:00,CUST0038,Butter Chicken,Main Course,1,280.0,280.0,Cash,Takeaway
1021,2024-01-26 21:58:00,CUST0038,Paneer Tikka,Starter,1,180.0,180.0,Card,Dine-in
1022,2024-11-13 14:37:00,CUST0002,Gulab Jamun,Dessert,1,80.0,80.0,Card,Takeaway
1022,2024-11-13 14:37:00,CUST0002,Dal Tadka,Main Course,1,160.0,160.0,UPI,Dine-in
1023,2024-08-22 12:00:00,CUST0069,Naan,Bread,3,40.0,120.0,Cash,Delivery
1024,2024-03-08 15:56:00,CUST0009,Dal Tadka,Main Course,1,160.0,160.0,Card,Delivery
1025,2024-11-30 21:52:00,CUST0026,Paneer Tikka,Starter,1,180.0,180.0,Cash,Delivery
1025,2024-11-30 21:52:00,CUST0026,Masala Dosa,Breakfast,1,120.0,120.0,UPI,Takeaway
1026,2024-04-14 10:32:00,CUST0074,Butter Chicken,Main Course,1,280.0,280.0,UPI,Takeaway
1027,2024-03-07 20:10:00,CUST0011,Filter Coffee,Beverages,1,60.0,60.0,Cash,Dine-in
1027,2024-03-07 20:10:00,CUST0011,Mango Lassi,Beverages,2,90.0,180.0,Card,Dine-in
1028,2024-07-08 19:27:00,CUST0027,Dal Tadka,Main Course,1,160.0,160.0,Cash,Takeaway
1029,2024-12-07 14:56:00,CUST0008,Naan,Bread,2,40.0,80.0,Cash,Takeaway
1029,2024-12-07 14:56:00,CUST0008,Masala Dosa,Breakfast,1,120.0,120.0,Card,Takeaway
1029,2024-12-07 14:56:00,CUST0008,Biryani,Main Course,2,320.0,640.0,UPI,Delivery
1030,2024-05-16 14:06:00,CUST0062,Butter Chicken,Main Course,2,280.0,560.0,Cash,Dine-in
